"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","59.1735537190083","60.4868270332188","73.5777153558052","73.1815261044177","96.2337472607743","261.677130044843","251.810023310023","240.482207323363","224.432286995516","222.917089678511","273.065587044534","250.743617797228","161.106004696411","196.354409857328","272.544938392357","252.839903165503","178.658484494689","217.649550692","311.508971303572","368.81085286989","382.179374341623","385.86198392732","403.338053304628","172.331880060114","67.6150101356144","420.682041133745","131.347086007225","60.7071689689423","57.6526922278532","53.3260125239389","47.659946400395","40.7123472977607","43.5261995479144","39.9507181869725","38.4394524015552","41.2023619972114","47.7431875958782","40.6286793585276","38.6107566290881",
"Africa Eastern and Southern","AFE","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","32.5377462726875","30.911803707118","28.9205814941271","27.7977123773432","33.3195011049979","31.9993123548845","30.3453816470722","31.1211385758493","30.4858450510665","29.6695742981465","32.4240908984543","32.7038088657108","30.5262611907123","31.4196565676571","36.2412614954928","34.3480055775063","32.2062331223766","30.9724855625882","31.8437838759575","35.4297589687646","44.03081645724","40.8941581715536","36.2829568807238","32.9704055083624","35.3406627007973","36.1092298166312","36.5853737181176","36.159761769578","36.835740347535","35.7229795452044","32.0915933854252","28.777424302312","34.0718402869137","34.3316739615257","36.918416160316","38.509734130082","40.7647339380184","40.8393195330715","39.4243426637145","39.2956007047435","39.9561203013879","43.1454044211281","43.806237812366","41.6030372425133","42.9779490428711","44.7031052905004","47.4663119450971","49.993293383275","56.862400144801","45.6821594912417","48.1010786019602","53.1248748513013","53.2936115072466","53.5188918592858","51.5186740695935","47.5302881045537","45.7608971325283","43.7652100438353","46.9118085114867","43.8218192794776","41.4262589776498","46.3249480680323","48.1281903228893","48.6818664446682","47.0811973980803",
"Afghanistan","AFG","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.2861153562819","62.6961085165883","66.706721386688","49.6577396307908","47.503331331458","46.0242129627266","45.3257251908116","35.6590129713989","35.2151092529739","30.1139981175203","34.9505949530686","38.7023981567049","47.711069772368","45.0154491943557","40.4885980855756","43.3464195931026","39.3562305524053","41.5283443929765","45.8754658013193","40.6448180105462","36.6557727324253","43.8008555178664","32.0681644111416","27.4424883967104","21.4181363539681",
"Africa Western and Central","AFW","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","31.9781704457392","32.0072591638215","29.5121287757849","29.8373027852291","31.259199270871","31.6632736195249","29.6173029193884","31.7349618505013","31.7798981316714","32.3140904952161","25.2423906485104","32.4496080661777","29.9810375547879","33.6907666625936","44.4260791285597","43.6687244370793","45.8581998105858","53.9165355804677","51.0266879060269","49.239849511742","55.3735993409759","27.9334434819342","24.9652442163001","27.8976346980787","30.6699109042044","29.9873048068191","27.8073579173854","29.6241651892094","29.5847764934671","36.3271702608586","36.7185374471564","34.729338059976","37.0691194113153","33.1834195464393","30.2909279606281","25.0808462272426","21.657394836779","21.2497268942862","17.5881314934177","40.7203669386655","44.7714979991218","43.5751250531057","36.0796619376785","38.9960959482551","43.2531995313398","45.4372451552906","42.2784305918076","43.1614882170246","46.4756536944956","39.3651248859656","43.1379083446767","49.5580158611064","45.8924105078413","39.3171885267977","38.6576545381808","32.0102749746021","30.8656150957235","32.064630564109","34.3348103839554","26.8210336901632","23.3853058847174","27.4366848023301","31.5330488469875","33.9948791291918","43.484456762724",
"Angola","AGO","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","54.1438016792773","63.3818710408577","45.3113717077195","48.4929866825898","53.6412521463045","48.2654015030775","34.188584728844","42.9344746672636","44.3337784098411","42.6690203402217","48.8712086596128","44.8613415476191","69.1277162932291","90.5746789257369","100.758822592538","92.2590960553569","94.799367559034","99.4197438612615","86.4095988731513","134.342646298993","120.060090681288","108.694203263342","69.826365819665","73.6796067623655","71.5127631926719","78.4169991478795","69.2880887809182","79.4889530773252","85.9354468150812","77.7037680693617","70.3968272055644","69.7227082754035","66.0361356696253","63.5411820853144","57.1848027206631","52.5379249269936","67.8526847234907","58.1628138057663","63.1820294384555","61.1808380403475","53.4778017713936","57.6310494089933","52.6460156132811","51.5099005746762","53.6391891384613",
"Albania","ALB","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0806269877495","30.7133758527178","30.0706845948746","46.3822302501318","93.6865118387259","58.5498138229765","39.5544622709823","31.5308344172478","35.3997487655546","34.2246861458873","39.7637709097508","45.4027574861755","37.7172139983997","40.255585688272","40.8416107884283","39.8503059763523","39.3430451687153","39.701291985463","42.0740742434539","47.4051403515478","49.7944475270885","45.7539734767016","49.2282921571006","56.4986737139594","55.9016873464926","56.7242948033375","57.5422260498416","54.218891345498","54.8184299528536","57.0436481712026","57.1864835430605","55.264281792132","52.9870541614998","62.5388560387542","66.8235522771698","55.629240869207","50.3282701412911",
"Andorra","AND","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.4632709760465","49.60782275672","50.0930073064665","53.1971554658554","54.0016759440349","","57.488709291254","51.9453476202165","66.5560023798325","59.3648903895926","56.7101329718115",
"Arab World","ARB","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","45.9462786109791","42.6349828711532","43.0056340573591","47.9652746784594","47.1351577133653","45.1317643294741","47.0147606234176","43.9836089736977","43.910621225165","43.9548881933744","45.0964477925529","48.247308330024","48.7700831280282","54.1432726026126","73.1926914519542","69.1172698545693","67.0929341191475","68.4069793356513","65.8690583894316","69.0940531674393","72.7498835459911","73.9274460386867","67.2923918869761","58.174204651824","54.316657076094","49.4396311503609","42.0370544503027","42.8837304768032","47.681096548931","49.7111464188098","38.3487317300802","49.4809785705263","54.5416217567489","51.5700265775083","50.5065641252747","54.3199441098744","57.9864310854587","55.7683662165717","50.6743044188357","50.4795068455255","55.9448829288209","54.7927028166239","57.0228681035377","61.6738664928397","69.2678026268221","73.7532159920275","73.7385506865896","77.4590950058607","82.8623072981728","72.7357709939878","74.0038632332539","77.9234260130113","80.5795292165099","79.6636973904035","74.2179590269005","66.9225110332497","62.4713029957372","65.2472947073415","67.6416270308113","66.5695312664857","60.8148902353381","68.6789600799448","73.5810946257016","73.8442747887156","75.4920044336786",
"United Arab Emirates","ARE","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","115.16258237713","125.546125695424","115.823273190013","62.1093994717983","69.6819811654841","67.5713852742956","66.9957509236218","59.0669540182526","60.9738549852783","66.0290294913007","70.4508985139633","64.9174480820307","60.5284308684678","58.8599156118143","56.0563185363279","57.4554254776728","50.2657170142929","53.8849778017354","56.6826129400457","66.5766374541776","68.524675889859","74.0647837757863","77.7408624291856","83.8001929480901","82.9237367311411","79.3110617580642","92.2874285396919","94.534420803129","87.7774464402657","80.7562531035773","81.3169797927339","82.9596737846984","86.3397191916687","95.868509422724","110.319428147766","111.805907964327","110.592393496322","127.465077750457","139.326582257953","142.743746883399","130.156840346782","144.211491744395","156.890593913211","157.407609035241","145.683392905316","147.626648137006","147.126502829107","141.642429446494","143.601744051294","156.218957745825","163.023557247707","182.910344646439","183.048058200475","199.145963565411","207.764145787865",
"Argentina","ARG","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","14.6733715848601","12.0404006853661","14.0312102521686","12.8392300921298","9.71285209107025","9.49736435145393","9.48988805048387","10.5579218347993","9.5964508044544","10.1995488156995","10.9770038885701","10.8370480999795","11.0730427565048","10.4598050924408","10.4449704660806","13.1734899234731","13.5803555138186","17.2839505865141","11.4924905713333","20.9523639416253","24.1184199896689","23.6066921870974","15.3746725069663","11.8677688070133","10.8557450655549","13.8512495570217","10.9339195053468","11.191894971063","11.3933117031478","17.9851869802937","11.6227035712622","10.6752064512818","11.848556815874","12.6306426385834","14.44453076445","15.9240093515624","17.4804496421547","19.4018281835286","19.3495027985613","17.2264683993891","18.1190431160743","17.4408510709564","35.4467669076716","34.0160118326352","34.629974908102","34.7393625713073","34.7002711144739","34.9475958389525","35.258516452524","28.36776900922","29.5023394337096","29.8722198953467","27.0990432264413","27.2460417167365","25.4864119079835","19.6703052646326","20.4045569707469","19.5114139324649","24.2488903055263","25.5139709712499","25.2086565639736","29.0029626540922","26.8840186998715","21.6816484498854","22.0060466657254",
